,user.name,created_at,id,full_text,display_text_range,source,retweet_count,favorite_count,user.followers_count,user.friends_count,user.statuses_count,entities.hashtags,entities.urls,partido,tipo de post
41,"Juanillo #yoconpabloiglesias, Ya en ⭕️ de Podemos.",2021-04-17 11:05:12+00:00,1383375988667551748,"Salgan de sus casas, cada persona un voto.

Este 4M 

#QueHableLaMayoria voto masivo a PODEMOS.

Madrileños, recuerden que #EllosVanFijo https://t.co/0CqI7j83SI","[0, 136]",['Twitter Web App'],0,0,855,1320,50044,"[{'text': 'QueHableLaMayoria', 'indices': [54, 72]}, {'text': 'EllosVanFijo', 'indices': [123, 136]}]","[{'url': 'https://t.co/0CqI7j83SI', 'expanded_url': 'https://twitter.com/CotMedi/status/1383051756012208132', 'display_url': 'twitter.com/CotMedi/status…', 'indices': [137, 160]}]",PODEMOS,mención
42,Isco Javier,2021-04-17 11:05:10+00:00,1383375982002720770,"""No puede ser que el 30% decida por el 70% , somos más, el día cuatro nadie se puede quedar en casa"". https://t.co/sCcWsScyGa","[0, 101]",['Twitter for Android'],0,0,196,173,1500,[],"[{'url': 'https://t.co/sCcWsScyGa', 'expanded_url': 'https://twitter.com/PODEMOS/status/1383370344317145090', 'display_url': 'twitter.com/PODEMOS/status…', 'indices': [102, 125]}]",PODEMOS,mención
43,María José Moya (#SQM #MCS #EHS #ClimateStrike 🌍),2021-04-17 11:05:07+00:00,1383375969134596104,"@CarrascoMarimar Pq no opinar o informar razonando, sin usar la descalificación personal y sin mentir?
No es la 1ª vez q difundís fotos con photoshop
A los zapatos de Montero  le habéis puesto el color, pero cada uno tiene una forma y tamaño diferentes.
No soy de Podemos Sólo q me gusta la verdad","[17, 297]",['Twitter Web App'],0,0,1420,1409,22678,[],[],PODEMOS,mención
44,David,2021-04-17 11:05:06+00:00,1383375965095489538,@Martix_AL @pardodevera ¿ Eso de que Gabilondo es un tío muy inteligente es un dogma de fé o podemos fiarnos de nuestros sentidos ?,"[24, 131]",['Twitter for Android'],0,0,23,146,1512,[],[],PODEMOS,mención
45,ᴮᴱ Karu⁷ 🎫,2021-04-17 11:05:02+00:00,1383375946942586880,"Los que sobrevivimos a los dos días seguidos del bbc podemos con todo
#BANGBANGCON2021 @BTS_twt","[0, 95]",['Twitter for Android'],0,1,552,377,26093,"[{'text': 'BANGBANGCON2021', 'indices': [70, 86]}]",[],PODEMOS,mención
46,Belu Murgiondo,2021-04-17 11:04:58+00:00,1383375930609979393,No podemos faltar al trabajo y seguir mimiendo abrazaditos🥺,"[0, 59]",['Twitter for Android'],0,2,1058,419,5972,[],[],PODEMOS,mención
47,PP Comunidad de Madrid,2021-04-17 11:04:53+00:00,1383375911140028420,"Los @populares construimos el hospital de Villalba y otros 13 hospitales públicos. Y el PSOE dijo no. 

¿Qué le hubiéramos dicho a las 1.451 personas de la sierra de Madrid que han sido atendidas ahí por COVID-19? 

Javier Fernández-Lasquetty en Collado Villalba. #YoConAyuso https://t.co/Nyd4Bcg0Xz","[0, 275]",['Twitter for iPhone'],0,5,120304,5826,94337,"[{'text': 'YoConAyuso', 'indices': [264, 275]}]",[],PODEMOS,mención
48,La mami de ZP,2021-04-17 11:04:52+00:00,1383375904865325061,"@PODEMOS @PabloIglesias Es que nací bollera con carné de partido?...yo nací libre, vivo en Madrid libre y quiero que sea así... parece mentira, ellos alimentan la extrema derecha porque la necesitan para justificar su discurso. Piensa!!!! https://t.co/Od77cplJZZ","[24, 262]",['Twitter for Android'],0,0,15,43,705,[],[],PODEMOS,mención
49,nicre,2021-04-17 11:04:50+00:00,1383375898313822210,"Claro que un Madrid más justo es posible.

Claro que podemos preocuparnos por la salud mental, por el medio ambiente y por el reequilibrio territorial para no dejar a nadie atrás.

Y claro que podemos sacar el ruido y la crispación de las instituciones. #PorLoQueDeVerdadImporta https://t.co/AJriiYsHIx","[0, 278]",['Twitter Web App'],0,1,612,675,34225,"[{'text': 'PorLoQueDeVerdadImporta', 'indices': [254, 278]}]",[],PODEMOS,mención
50,Gloribel Daz,2021-04-17 11:04:48+00:00,1383375889023389698,"@salathieljimen1 Definitivamente, sin él no@podemos hacer nada. Saludos y bendiciones!","[17, 86]",['Twitter for iPhone'],0,0,4649,4641,7437,[],[],PODEMOS,mención
51,Esperanza Dotor,2021-04-17 11:04:47+00:00,1383375883474407424,"@Sikness1924 @mariteremoto @Alex72548885 Eso lo hace también el PP y muchos partidos nacionalistas. Ya he dicho que no me gusta Podemos y menos Pablo Iglesias, y este último por su forma de hacer las cosas, pero de ahí a comparar Podemos con Vox...","[41, 248]",['Twitter for Android'],0,0,40,99,197,[],[],PODEMOS,mención
52,SandraLuna,2021-04-17 11:04:45+00:00,1383375876948066304,Si el partido Podemos de Urresti está quemado porque su líder Luna Galvez está en investigación imagínense lo que debería ser Perú Libre de Castillo que su líder es Wladimir Cerron sentenciado por corrupción!!!!,"[0, 211]",['Twitter for iPhone'],0,0,1,54,10,[],[],PODEMOS,mención
53,MaycolCG,2021-04-17 11:04:27+00:00,1383375801316384778,"@GustavoBolivar Senador Gustavo, esa no es la forma.

Si realmente queremos cambiar el país, no podemos hacer lo mismo que ellos hacen.

Los niños se respetan, sean de la familia que sean","[16, 187]",['Twitter for Android'],0,0,10,339,1077,[],[],PODEMOS,mención
54,ًً🎫,2021-04-17 11:04:25+00:00,1383375791493312515,si podemos,"[0, 10]",['Twitter for Android'],0,0,126,241,2270,[],[],PODEMOS,mención
55,Julio Martínez Fontanilles,2021-04-17 11:04:24+00:00,1383375787596795908,@larazon_es Habrá mucho voto útil ciudadanos y podemos lo tienen muy mal para entrar en la asamblea,"[12, 99]",['Twitter for Android'],1,1,20,81,25381,[],[],PODEMOS,mención
