,user.name,created_at,id,full_text,display_text_range,source,retweet_count,favorite_count,user.followers_count,user.friends_count,user.statuses_count,partido,tipo de post,hashtags,campaña,sentimiento,scores
0,Tere,2021-04-26 19:15:42+00:00,1386760917023662085,"@PSOE @Adrilastra Si no  hubiera  democrática  tú no estarías ahí, por no tener nivel","[18, 85]",['Twitter for Android'],0,0,460,451,43091,PSOE,mención,[],general,1,0.5130968689918518
1,Isidre Llussà 2.0 El Timbaler del Bruch,2021-04-26 19:15:37+00:00,1386760896656125956,@juanarza @CataManyol @PSOE @PODEMOS Lo doy por hecho. Ha sucedido históricamente siempre.,"[37, 90]",['Twitter for iPhone'],0,0,397,1162,9215,PSOE,mención,[],general,5,0.525806725025177
2,Pablo L.🇪🇦,2021-04-26 19:15:35+00:00,1386760890645729280,@Javier__19817 @manumarlasca Y sanchez y el PSOE,"[29, 48]",['Twitter for iPhone'],0,0,155,342,8898,PSOE,mención,[],general,1,0.3104204535484314
3,Rubio,2021-04-26 19:15:35+00:00,1386760888229810179,"@PSOE @MarotoReyes Fascismo es Pablo Iglesias, fascismo es bildu, fascismo es independentismo, fascismo es quien lo apoya, Los fascistas sois vosotros, quien no piensa como vosotros es un fascista!! Lamentable. El cordón sanitario es PODEMOS!!!!","[19, 245]",['Twitter for Android'],0,0,7,26,739,PSOE,mención,[],general,1,0.8461056351661682
4,felice? ma non troppo 🇪🇸,2021-04-26 19:15:34+00:00,1386760884232544260,"@Unha27 @jjaviervazquez @equipoGabilondo Por eso lo hace, de lo que trinca el @psoe algo le tocará para sus desfases...","[41, 119]",['Twitter for iPad'],0,0,506,1127,85504,PSOE,mención,[],general,3,0.3909808099269867
5,Juan Fco Rubio,2021-04-26 19:15:31+00:00,1386760874283646976,"@Accountable2019 Esa fue la misión de Errejón, dividir la izquierda transformadora para que el PSOE sea el partido más votado dentro de la izquierda.","[17, 149]",['Twitter for Android'],0,0,124,354,7490,PSOE,mención,[],general,5,0.28561508655548096
6,Ana Jimenez,2021-04-26 19:15:30+00:00,1386760870437457925,"@PSOE @MarotoReyes @Adrilastra La que faltaba,  la analfabeta mayor del Reino","[31, 77]",['Twitter Web App'],0,0,4,5,945,PSOE,mención,[],general,1,0.6304294466972351
7,Mar,2021-04-26 19:15:30+00:00,1386760867870617615,"Acabo de oír que Más Madrid va a ganar por la izquierda.  Pedro Sánchez ha hundido el partido socialista.   No es que vaya a ganar, pero le quita votos al psoe.","[0, 160]",['Twitter for Android'],0,0,2893,3427,60201,PSOE,mención,[],general,1,0.5999466776847839
8,Isabel,2021-04-26 19:15:11+00:00,1386760790322069506,@hernandezcapri1 @jjaviervazquez @PSOE Este es un enfermo q asco me da 🤢🤮🤢🤮🤢🤮,"[39, 77]",['Twitter for Android'],0,0,89,105,719,PSOE,mención,[],general,1,0.7009246349334717
9,Gemma,2021-04-26 19:15:08+00:00,1386760776124444673,@PSOECantabria @PSOE @Pablo_Zuloaga LASTRA VETE A ESTUDIAR EN VEZ DE ACUSAR EN FALSOOOO...QUE DEMOCRACIA ES LA TUYAAAA,"[36, 118]",['Twitter for Android'],0,0,3,12,8586,PSOE,mención,[],general,1,0.6145051717758179
0,𝕁𝕠𝕤𝕖𝕡𝕙 𝕎. 𝔸𝕝𝕔í𝕧𝕒𝕣,2021-04-26 19:15:44+00:00,1386760928998400000,"Esto es lo que hay que organizar bien, no podemos volver a lo de antes cuando jóvenes tenían que hacer filas desde la noche anterior para conseguir un cupo, ni que les den títulos solo porque están al día en sus pagos aunque tengan bajas calificaciones #Senescyt @LassoGuillermo https://t.co/zzMlFUesHy","[0, 278]",['Twitter for Android'],0,0,221,1086,7202,PODEMOS,mención,['Senescyt'],general,4,0.3749736547470093
1,luis el fariseo,2021-04-26 19:15:44+00:00,1386760927807217665,"@JotaControljota @AAmordazada @PODEMOS @PabloIglesias Les quiero recordar a los hipócritas ......por cierto,que tiene que hablar de fascismo alguien que seguramente ha nacido después del 75??????que se os llena mucho la boquita de cosas no vividas,eso si,el último atentado de ETA fue en 2010,tus socios,ahora háblame de fascismo https://t.co/6U2jHDDiGr","[54, 329]",['Twitter for iPhone'],0,0,6,44,318,PODEMOS,mención,[],general,1,0.5354159474372864
2,cervantesbtsarmy 🧈,2021-04-26 19:15:40+00:00,1386760912443297792,@jaeswanx Si podemos no sean floj@s,"[10, 35]",['Twitter for Android'],0,0,113,258,313,PODEMOS,mención,[],general,5,0.2447841912508011
3,Jose G.S 👽,2021-04-26 19:15:40+00:00,1386760910195339272,"@botiadrian74 @SrNaninho Tú eres analfabetismo en estado puro 😂 con una pandemia mundial normal que haya paro que no te enteras, y hablas de desigualdad social cuando es Podemos quien la lucha contra ella👇 jajaja vaya nivel 🤦‍♂️ https://t.co/A9HTrjEj1I","[25, 228]",['Twitter Web App'],0,0,578,840,39282,PODEMOS,mención,[],general,1,0.5087079405784607
4,RAINMAKER ⛈,2021-04-26 19:15:39+00:00,1386760906990882816,"@Kam1esports Al final del dia somos una misma region, que por cuestiones geograficas y de infraestructura no podemos competir entre nosotros, sea el que gane va a Islandia como ganador de LATAM, nadie dira viene el campeon de LAS o de LAN.","[13, 239]",['Twitter Web App'],0,0,1478,422,5319,PODEMOS,mención,[],general,1,0.5497294068336487
5,Isidre Llussà 2.0 El Timbaler del Bruch,2021-04-26 19:15:37+00:00,1386760896656125956,@juanarza @CataManyol @PSOE @PODEMOS Lo doy por hecho. Ha sucedido históricamente siempre.,"[37, 90]",['Twitter for iPhone'],0,0,397,1162,9215,PODEMOS,mención,[],general,5,0.525806725025177
6,Marc Llodrà,2021-04-26 19:15:35+00:00,1386760888506531844,No podemos fallar tanto y que Sabadell y Castellon te la metan a la primera. Inconcebible.,"[0, 90]",['Twitter for iPhone'],0,0,1742,2863,109950,PODEMOS,mención,[],general,1,0.783046305179596
7,Rubio,2021-04-26 19:15:35+00:00,1386760888229810179,"@PSOE @MarotoReyes Fascismo es Pablo Iglesias, fascismo es bildu, fascismo es independentismo, fascismo es quien lo apoya, Los fascistas sois vosotros, quien no piensa como vosotros es un fascista!! Lamentable. El cordón sanitario es PODEMOS!!!!","[19, 245]",['Twitter for Android'],0,0,7,26,739,PODEMOS,mención,[],general,1,0.8461056351661682
8,BORDER: Lau ✿ ♡ 🎭,2021-04-26 19:15:34+00:00,1386760885750968325,"‼️ Engene estamos en la décima hora! Nuestra meta es de 4,2M, pero si es posible podemos lograr más!!

Por favor vayan a hacer Stream!

@ENHYPEN @ENHYPEN_members
#ENHYPEN #엔하이픈 #エンハイプン https://t.co/DnHSpXlOHj","[0, 184]",['Twitter for Android'],1,0,1872,1413,17892,PODEMOS,mención,"['ENHYPEN', '엔하이픈', 'エンハイプン']",general,1,0.3444439470767975
9,‍ ‍ ‍ ‍‍𝑱𝒐𝒏𝒂𝒔.,2021-04-26 19:15:34+00:00,1386760884479959041,ignacio ya podemos ser novios.,"[0, 30]",['Twitter for Android'],0,0,130,53,1350,PODEMOS,mención,[],general,5,0.49046382308006287
0,horacio muñoz alvear,2021-04-26 19:15:44+00:00,1386760926796341255,@cgajardop Lo que no dices care raja...q todos esos gamberros estaban dejando la cagada en el pais en un acto sedicioso contra la Republica y sus ciudadanos..merecian ser reprimidos fuertemente como enemigos de la democracia...asi q ahora no lloren lagrimas de cocodrilo,"[11, 270]",['Twitter for Android'],0,0,9,124,176,CIUDADANOS,mención,[],general,1,0.5021260380744934
1,𝐀𝐢𝐧𝐡𝐨𝐚 🔥,2021-04-26 19:15:39+00:00,1386760908068818949,"🍊 Ciudadanos sabe que los jóvenes pasan por una situación complicada, por eso propone:

👉🏻 Mas psicólogos para el Plan Estratégico 2021-2025

👉🏻 Poner en marcha un Plan de la Prevención de Transtornos de la Conducta Alimentaria. https://t.co/XswrqilY7w","[0, 228]",['Twitter for Android'],0,0,2545,1064,54572,CIUDADANOS,mención,[],general,3,0.27380484342575073
2,𝐀𝐢𝐧𝐡𝐨𝐚 🔥,2021-04-26 19:15:38+00:00,1386760900506492933,"🍊 Para que los estudiantes y docentes puedan utilizar las instalaciones deportivas de cualquier universidad pública, Ciudadanos propone:

👉🏻 Carnet Campus Région en Forma. https://t.co/ySrfO9kzGp","[0, 171]",['Twitter for Android'],0,0,2545,1064,54572,CIUDADANOS,mención,[],general,4,0.3486056923866272
3,Csanchez27011957,2021-04-26 19:15:37+00:00,1386760898015121410,"@Miss_Bennet7 @MarotoReyes Y esta señora es la que dice que es dialogante?
Es la misma basura totalitaria al servicio de su amo Se dice demócrata y pacta con criminales que no condenan la violencia y repudia a más de 3,5M de votantes. Esa es la tolerancia. No ha condenado ningún ataque a estos ciudadanos","[27, 305]",['Twitter for Android'],0,0,51,108,2101,CIUDADANOS,mención,[],general,1,0.8630203008651733
4,{Sauri Rebollo♥},2021-04-26 19:15:35+00:00,1386760888766578692,"Seguimos visitando casa por casa a los ciudadanos como debe de ser, como nos enseñó #yasabesquien #votatodomorena  @ La Merced-Ramírez García, León https://t.co/eRi6Qpn9jv","[0, 147]",['Twitter for iPhone'],0,0,84,231,1393,CIUDADANOS,mención,"['yasabesquien', 'votatodomorena']",general,5,0.4440602958202362
5,Escarley Torrico,2021-04-26 19:15:32+00:00,1386760878305972231,¿Los ciudadanos paceños estarían más satisfechos si toda la basura que producen no se trata y sólo se deposita en algún lugar contaminando todo? ¿Por qué no importa lo importante?,"[0, 179]",['Twitter for iPhone'],0,0,436,1559,1451,CIUDADANOS,mención,[],general,1,0.4762535095214844
6,Milagros alvarado,2021-04-26 19:15:27+00:00,1386760857628069888,RUMBO A 3 HORAS DE RACIONAMIENTO CRIMINAL ZONA TRINITARIAS Y OTROS SECTORES DE BARQUISIMETO Y CABUDARE! HASTA CUÁNDO TORTURAN A LOS CIUDADANOS DECENTES? ABUSADORES! GENOCIDAS! PAGARÁN TANTO DAÑO MUY PRONTO! #VAYANSEYA #DEJENVIVIRENPAZ,"[0, 234]",['Twitter for Android'],0,0,3614,4087,9656,CIUDADANOS,mención,"['VAYANSEYA', 'DEJENVIVIRENPAZ']",general,1,0.8423017859458923
7,M. A. E. Montero Contento 🇪🇸🔮♻️✊🏼💔💜🇪🇸,2021-04-26 19:15:22+00:00,1386760835998130178,@Fernandoelcato5 @populares @CiudadanosCs @vox_es Yo ilumino cuándo enciendo la luz 💡 antes de amanecer 🌅 en el casco 🪖 de obra 🏗 si te sirve 😂,"[50, 143]",['Twitter for iPhone'],0,0,859,2527,13074,CIUDADANOS,mención,[],general,1,0.38786864280700684
8,DP contigo,2021-04-26 19:15:16+00:00,1386760811838943233,"@larjartito @morganaskwlkr @JLazaroS No veo por qué no...en lugar de ayudas a bancos, contratar profesionales que puedan ofrecer facilidades a los pequeños empresarios y ciudadanos","[37, 180]",['Twitter for Android'],0,0,148,188,7192,CIUDADANOS,mención,[],general,1,0.5880187749862671
9,"MÓNICA No me esperes en el baño, bicho🐀🐁!!🌺🌷🌸",2021-04-26 19:15:16+00:00,1386760810157027336,"@aneshali @populares @CiudadanosCs Maniatada por los progres. Mitin de VOX en Vallecas, UP calentando el ambiente e incitando a la confrontación, policía con órdenes de aguantar y no cargar. Resultado: 35 heridos, 21 de ellos policías. Nadie se preocupó por ellos. UP hizo victimismo, como siempre. Asqueroso.","[35, 309]",['Twitter Web App'],0,0,3402,2548,98584,CIUDADANOS,mención,[],general,1,0.8858874440193176
0,Jimena Tembury,2021-04-26 19:15:46+00:00,1386760934186696709,@1Omard @sanchezcastejon @mincoturgob @MarotoReyes Gracias por hacer continuamente la mejor campaña que VOX pueda tener. Os vais a comer una 💩,"[51, 142]",['Twitter for Android'],0,0,3,6,175,CIUDADANOS,mención,[],general,5,0.7916799187660217
1,🔻Petul🎗❤💛💜🎗⚒🔻,2021-04-26 19:15:45+00:00,1386760932135682054,"@3porciento_3 @dynlita1 @Pindio5 Si, es lo que suelen decir siempre, si lo hace alguien de izquierdas es un terrorista, alguien de derechas, es un loco. El ano pasado pillaron en Terrassa un cercano a VOX con una arsenal para matar a Pedro Sánchez, otro loco?","[33, 259]",['Twitter for Android'],0,0,1194,2248,17819,CIUDADANOS,mención,[],general,1,0.367556631565094
2,Rantengla,2021-04-26 19:15:45+00:00,1386760931716239360,"@equipoGabilondo Oye sinvergüenza, has pedido ya perdón por insinuar que ha sido VOX el del sobre?","[17, 98]",['Twitter for iPhone'],0,0,44,113,14686,CIUDADANOS,mención,[],general,1,0.7886807322502136
3,MIGUEL,2021-04-26 19:15:45+00:00,1386760931640754182,"@surimixxy @sindomartinez5 @Turbulencias5 @J__lO__lO__ @ivanedlm @MarotoReyes @vox_es @VOX_Congreso Sí lo dudo porque al igual que la política está llena de ladrones, psicópatas y aprovechados también es cierto que entre la gente normal abundan la generosidad y el altruismo.
En mi opinión VOX es un instrumento para llevar gente ""normal"" a la política, obviando los filtros...","[100, 377]",['Twitter for Android'],0,0,2869,3097,38819,CIUDADANOS,mención,[],general,1,0.36528515815734863
4,🇪🇸 El Barón de Sotomonte 🇪🇸,2021-04-26 19:15:45+00:00,1386760929451380751,"@sextaNoticias Condeno a cualquiera que te amenace y te impida pasear con tus hijos por la calle. ¿Condenas tú los actos violentos contra VOX en Vallecas? ¿O los sigues justificando?

https://t.co/4T7yuWkUTp","[15, 207]",['Twitter Web App'],0,0,196,376,3319,CIUDADANOS,mención,[],general,1,0.722796618938446
5,Morrión ❌,2021-04-26 19:15:39+00:00,1386760907758489602,"@FernandoSebas73 Falta le haría a ese estadio tirarlo entero, con los de Vox dentro si quieres, hay futbolines mejor acondicionados","[17, 131]",['Twitter for iPhone'],0,0,118,216,2924,CIUDADANOS,mención,[],general,1,0.4105786979198456
6,PUBLICO EN LAS GRADAS,2021-04-26 19:15:36+00:00,1386760895473328128,"@ivanedlm @MarotoReyes @vox_es Se les cae todo el odio demostrado, son basura y lo demuestran cada vez que abren la boca.","[31, 121]",['Twitter for Android'],0,0,89,169,1053,CIUDADANOS,mención,[],general,1,0.8445290327072144
7,Harto De Engaños,2021-04-26 19:15:36+00:00,1386760894546419716,Resulta q no son fachas ni antidemocratas sino q es un enfermo mental el del sobre de Maroto. Es de chiste. Y cn cordones sanitarios. Dan bastante asco. Me da q han usado al enfermo pra mandarselo ellos. Hasta dudo si votar a vox,"[0, 229]",['Twitter for Android'],0,0,604,797,8019,CIUDADANOS,mención,[],general,1,0.5980128049850464
8,Fary,2021-04-26 19:15:34+00:00,1386760886136803339,"@ximopuig ¿Te parece bien que acuse a @vox_es , tercer partido de España,  de estar detrás de las amenazas?

Eres ruin y mezquino a partes iguales🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️","[10, 161]",['Twitter for Android'],0,0,507,689,33994,CIUDADANOS,mención,[],general,1,0.7800909876823425
9,Papapán con champán,2021-04-26 19:15:33+00:00,1386760882881978368,"@VaclavLamzic @vox_es @monasterioR Entiendo que estás a favor de que vengas los moros y los negros a invadir este país,cuando ni siquiera hay trabajo para los españoles. In poco de por favor hombre, hombra, hombro.","[35, 214]",['Twitter for iPhone'],0,0,18,69,499,CIUDADANOS,mención,[],general,1,0.5166688561439514
0,Partido Popular,2021-04-26 18:45:00+00:00,1386753191769952259,"📻 A las 21:00, @montesinospablo estará en @CAPITALRADIOB.

Sigue la entrevista, en directo, en el siguiente enlace👉🏻 https://t.co/qYSStOZw2t https://t.co/zDnKkbpEPG","[0, 140]",Twitter Web App,2,7,821874,5290,102692,Partido Popular,publicación,[],general,5,0.23940567672252655
1,Partido Popular,2021-04-26 18:37:33+00:00,1386751318098948096,"🔵@IdiazAyuso: “El sanchismo y el comunismo han abandonado al socialismo”.

Estas elecciones son una oportunidad para que todos aquellos que se sienten liberales, conservadoras, demócrata-cristianos, socialistas clásicos nos unamos para decir basta ya"".

#YoConAyuso #VotaLIBERTAD https://t.co/nsCO15CM9S","[0, 279]",Twitter Media Studio - LiveCut,43,101,821874,5290,102692,Partido Popular,publicación,"['YoConAyuso', 'VotaLIBERTAD']",general,1,0.28545549511909485
2,Partido Popular,2021-04-26 18:30:31+00:00,1386749546789806085,"🔵 @IdiazAyuso: “Si no son capaces de gestionar el escáner de tres instituciones distintas, como para gestionar Barajas o un país”. 

#YoConAyuso #VotaLIBERTAD https://t.co/tmRQ1821Yr","[0, 158]",Twitter Media Studio - LiveCut,130,284,821874,5290,102692,Partido Popular,publicación,"['YoConAyuso', 'VotaLIBERTAD']",general,1,0.458816260099411
3,Partido Popular,2021-04-26 18:28:15+00:00,1386748976028868608,"🔵 @IdiazAyuso: “Condenamos todo tipo de violencia, ahora bien, todos recibimos en algún momento amenazas y la diferencia es que unos no lo comentamos; lo llevamos ante las instituciones pertinentes y no estamos haciendo circos”.

#YoConAyuso #VotaLIBERTAD https://t.co/1je5APo4w9","[0, 255]",Twitter Media Studio - LiveCut,84,244,821874,5290,102692,Partido Popular,publicación,"['YoConAyuso', 'VotaLIBERTAD']",general,1,0.5159963965415955
4,Partido Popular,2021-04-26 18:24:58+00:00,1386748150770176006,"🔵 @IdiazAyuso: “¿Qué está pasando con Barajas? ¿Cuántas veces tendré que decir a este Gobierno que la cepa india ya está por una inmensa mayoría de países?”

¿A qué está este Gobierno? A la feria, a la épica y a los relatos, porque no saben gestionar.

#YoConAyuso #VotaLIBERTAD https://t.co/KAPfEJBVYM","[0, 278]",Twitter Media Studio - LiveCut,93,166,821874,5290,102692,Partido Popular,publicación,"['YoConAyuso', 'VotaLIBERTAD']",general,1,0.579494833946228
5,Partido Popular,2021-04-26 18:09:49+00:00,1386744339200610307,"🔵 @IdiazAyuso: “El proyecto de Pedro Sánchez y Pablo Iglesias ha fracasado. Es un proyecto acabado, en caída libre e hipócrita como pocos; una auténtica farsa que se les ha escapado entre los dedos”.

Algunos ejemplos de su hipocresía...👇

#YoConAyuso #VotaLIBERTAD https://t.co/YZWxNZRVTh","[0, 265]",Twitter Media Studio - LiveCut,106,221,821874,5290,102692,Partido Popular,publicación,"['YoConAyuso', 'VotaLIBERTAD']",general,1,0.7050452828407288
6,Partido Popular,2021-04-26 17:57:15+00:00,1386741174346584067,"👉 @palomamartinm: “La libertad nos hace crecer. El radicalismo, la intolerancia, el socialismo y el comunismo nos empobrecen a todos”.

💬 Llegamos más lejos de la mano de la libertad. No damos tres pasos de la mano del comunismo.

#YoConAyuso #VotaLIBERTAD https://t.co/WiLQyjoUX5","[0, 256]",Twitter Media Studio - LiveCut,17,28,821874,5290,102692,Partido Popular,publicación,"['YoConAyuso', 'VotaLIBERTAD']",general,5,0.4254228472709656
7,Partido Popular,2021-04-26 17:51:58+00:00,1386739848703266820,"👉 @palomamartinm: “¿Es tolerante quien envía a su ministro para insultar al PP? ¿Es tolerante quien utiliza el OE para arremeter contra el PP? ¿Es tolerante quien no permite que se celebre una conferencia del Leopoldo López?

🔴 ¿Quién crispa?

#YoConAyuso #VotaLIBERTAD https://t.co/jxbxFjJrkV","[0, 269]",Twitter Media Studio - LiveCut,38,70,821874,5290,102692,Partido Popular,publicación,"['YoConAyuso', 'VotaLIBERTAD']",general,1,0.6090314984321594
8,Partido Popular,2021-04-26 17:22:35+00:00,1386732451196776459,"📡 #EnDirecto 👉 @IdiazAyuso interviene en un acto de campaña en Torrejón de Ardoz.

#YoConAyuso #VotaLIBERTAD
 https://t.co/mptxtNCqqT","[0, 133]",Twitter Media Studio,39,91,821874,5290,102692,Partido Popular,publicación,"['EnDirecto', 'YoConAyuso', 'VotaLIBERTAD']",general,1,0.38750505447387695
9,Partido Popular,2021-04-26 16:40:00+00:00,1386721734884270082,"🔵 En unos minutos, a partir de las 19:00h., @IdiazAyuso estará en Torrejón de Ardoz.

No te pierdas su intervención, en directo, en nuestras redes y en https://t.co/6WGpUWq5JJ 🤳🏻
#YoConAyuso #VotaLIBERTAD https://t.co/7tNxJtDQjJ","[0, 204]",Twitter Web App,48,115,821874,5290,102692,Partido Popular,publicación,"['YoConAyuso', 'VotaLIBERTAD']",general,1,0.388207346200943
0,PSOE,2021-04-26 18:33:31+00:00,1386750301089239044,"🗳️ A VOTAR 🗳️

El pueblo de Madrid a las urnas contra el fascismo!

La fuerza del PSOE es la que puede aglutinar fuerzas para ganar a la derecha con la ultraderecha dentro.

#VotaPSOE/♥️

Por la democracia✊
Por Madrid✊
Por España✊

🌹 @equipoGabilondo

#DemocraciaFrenteAlMiedo https://t.co/9ZXnGVJ6oN","[0, 276]",Twitter Media Studio - LiveCut,30,48,823267,13436,120954,PSOE,publicación,"['VotaPSOE', 'DemocraciaFrenteAlMiedo']",general,5,0.2810426652431488
1,PSOE,2021-04-26 18:28:16+00:00,1386748980189671427,"Los discursos de odio y exclusión generan delitos de odio.

Yo no me lo tomo a broma. 
FIRMEZA y DETERMINACIÓN ‼️

En memoria de quienes no están, de los que están por venir y necesitan un mundo democrático, de justicia y libertades.

🌹 @equipoGabilondo

#DemocraciaFrenteAlMiedo https://t.co/ywKnK4iGlE","[0, 279]",Twitter Media Studio - LiveCut,34,57,823267,13436,120954,PSOE,publicación,['DemocraciaFrenteAlMiedo'],general,5,0.36483603715896606
2,PSOE,2021-04-26 18:23:22+00:00,1386747749127892992,"Ningún voto vale más que el voto que otra persona.
Esto les pone de los nervios ‼️

⚠️No debemos pactar gobiernos con Vox.
⚠️Su visión de la democracia es antidemocrática en el corazón de la democracia misma.

CON VALENTÍA
CON ARROJO

🌹 @equipoGabilondo

#DemocraciaFrenteAlMiedo https://t.co/lEZEdn9nqb","[0, 279]",Twitter Media Studio - LiveCut,36,50,823267,13436,120954,PSOE,publicación,['DemocraciaFrenteAlMiedo'],general,1,0.829933762550354
3,PSOE,2021-04-26 18:21:31+00:00,1386747281215565825,"🌹 Yo estoy en la izquierda que cambia las cosas 🌹 

⚠️El miedo paraliza.
NO TENGAMOS MIEDO @MarotoReyes.
Es su arma para que nos quedemos paralizados.

La política es el amor hacia un hacer para transformar y regenerar la sociedad.

🌹 @equipoGabilondo

#DemocraciaFrenteAlMiedo https://t.co/bQ0lBGLCgc","[0, 277]",Twitter Media Studio - LiveCut,30,58,823267,13436,120954,PSOE,publicación,['DemocraciaFrenteAlMiedo'],general,5,0.37599828839302063
4,PSOE,2021-04-26 18:13:25+00:00,1386745244574797826,"Necesitamos un partido para liderar esa recuperación.
Con reconstrucción social.
👇👇👇
 Y es el PSOE ✊

Sin dejar a nadie atrás.
Nadie caminará solo mientras haya un socialista luchando por la sociedad.

👩🏽‍🤝‍👨🏼 NADIE CAMINARÁ SOLO 👨🏿‍🤝‍👨🏽

🌹 @equipoGabilondo 

#DemocraciaFrenteAlMiedo https://t.co/d02bwuNQ9T","[0, 284]",Twitter Media Studio - LiveCut,39,55,823267,13436,120954,PSOE,publicación,['DemocraciaFrenteAlMiedo'],general,5,0.3332001864910126
5,PSOE,2021-04-26 18:07:53+00:00,1386743854393614340,"Hay personas que no pueden tener un proyecto de vida en esta comunidad.

🤲 34,2% de jóvenes en paro en Madrid.
🤲 Desigualdad.
🤲 Pobreza.
🤲 Las colas del hambre han crecido el 40%.

Debemos hacer política en esa dirección ‼️

🌹 @equipoGabilondo 

#DemocraciaFrenteAlMiedo https://t.co/6m0ftsQYsp","[0, 270]",Twitter Media Studio - LiveCut,56,70,823267,13436,120954,PSOE,publicación,['DemocraciaFrenteAlMiedo'],general,1,0.7096223831176758
6,PSOE,2021-04-26 18:03:33+00:00,1386742761924304897,"A los socialistas se nos secaría la boca si dijésemos lo que han dicho sobre los menores no acompañados y las personas que acuden a por comida.

⚠️ La democracia está amenazada.
⚠️ Porque alguien quiere eliminar al diferente.

🌹 @equipoGabilondo 

#DemocraciaFrenteAlMiedo https://t.co/dnVzlah3Ko","[0, 272]",Twitter Media Studio - LiveCut,44,70,823267,13436,120954,PSOE,publicación,['DemocraciaFrenteAlMiedo'],general,1,0.6124404072761536
